0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:17:23 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:17:28 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:22:57 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:23:11 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:23:50 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:24:37 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:24:47 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:26:28 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:26:28 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:26:29 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:26:29 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:28:34 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:29:00 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:32:00 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:33:08 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:33:36 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1577
